drug_class,exposure_definition,variable,smd_before,smd_after_ipw
ace_inhibitor,current_use,drug_loop_diuretic,0.2939,0.1925
ace_inhibitor,current_use,drug_alpha_blocker,0.242,0.0956
ace_inhibitor,current_use,drug_gout_drug,0.1826,0.0945
ace_inhibitor,current_use,drug_benzodiazepine,0.1172,0.0835
ace_inhibitor,current_use,drug_sulfonylurea,0.4652,0.1609
ace_inhibitor,current_use,drug_thyroid,0.1878,0.159
ace_inhibitor,current_use,drug_bisphosphonate,0.08,0.1017
ace_inhibitor,current_use,drug_potassium_sparing,0.1165,0.1293
ace_inhibitor,current_use,drug_count_x_age,1.166,0.5521
ace_inhibitor,current_use,drug_count_x_bmi,1.0261,0.4003
ace_inhibitor,current_use,drug_count_x_egfr,1.021,0.3515
ace_inhibitor,current_use,drug_count_x_bmi_missing,0.0026,0.0573
ace_inhibitor,current_use,drug_count_x_egfr_missing,0.0338,0.0528
beta_blocker,current_use,RIDAGEYR,1.2535,0.3953
beta_blocker,current_use,sex_binary,0.0149,0.0532
beta_blocker,current_use,RIDRETH1,0.0655,0.057
beta_blocker,current_use,BMXBMI,0.2888,0.1518
beta_blocker,current_use,BMXWAIST,0.4668,0.2135
beta_blocker,current_use,INDFMPIR,0.055,0.0083
beta_blocker,current_use,LBXSCA,0.0263,0.0026
beta_blocker,current_use,LBXSUA,0.4193,0.012
beta_blocker,current_use,LBXSPH,0.0526,0.0341
beta_blocker,current_use,LBXSC3SI,0.1759,0.0094
beta_blocker,current_use,LBXSBU,0.5894,0.1356
beta_blocker,current_use,LBXSCR,0.326,0.0643
beta_blocker,current_use,egfr,0.9566,0.2621
beta_blocker,current_use,acr,0.1091,0.0334
beta_blocker,current_use,systolic_bp,0.5287,0.2099
beta_blocker,current_use,diastolic_bp,0.1155,0.02
beta_blocker,current_use,smoking_status,0.0443,0.002
